Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Deposit fee (EUR),Stamp duty reserve tax (EUR),Notes,ID,Currency conversion fee (EUR)
Deposit,2021-01-07 10:02:59,,,,,,,,,50.00,,,50.00,,,"Transaction ID: 1329100137787678",9b71171a-4f52-4339-874f-1dcf23befbcf,
Market buy,2021-01-07 10:07:26,DE0007472060,WDI,"Wirecard",10.0000000000,0.94,EUR,1.00000,,9.36,,,,,,,EOF768020975,
Market buy,2021-01-07 10:21:17,IE00B1XNHC34,INRG,"iShares Global Clean Energy",1.0000000000,1391.50,GBX,90.15510,,15.43,,,,,,,EOF768023116,
Market buy,2021-01-07 10:50:55,GB0009895292,AZN,"AstraZeneca",0.1300000000,7466.00,GBX,90.24280,,10.81,,,,,0.05,,EOF768028264,
Market buy,2021-01-08 14:31:08,US88160R1014,TSLA,"Tesla",0.0110000000,856.31,USD,1.22803,,7.67,,,,,,,EOF785995314,
Deposit,2021-01-08 23:16:15,,,,,,,,,50.00,,,50.00,,,"Transaction ID: 1556101477742301",63921f3e-4d1b-498b-9e49-f2d20f12bc59,
Market buy,2021-01-11 15:45:14,US1912161007,KO,"Coca-Cola",0.4500000000,50.23,USD,1.21480,,18.61,,,,,,,EOF808416415,
Market buy,2021-01-14 14:31:03,US88160R1014,TSLA,"Tesla",0.0400000000,844.00,USD,1.21177,,27.86,,,,,,,EOF828948494,
Market buy,2021-01-14 14:36:55,US88160R1014,TSLA,"Tesla",0.0110000000,839.54,USD,1.21239,,7.62,,,,,,,EOF828977036,
Market buy,2021-01-21 12:56:23,DE000A1J5RX9,O2D,"Telefonica",1.0000000000,2.28,EUR,1.00000,,2.28,,,,,,,EOF865130102,
Deposit,2021-01-27 18:33:04,,,,,,,,,50.00,,,50.00,,,"Transaction ID: 6129117723830267",138b2f94-aabf-4d3d-b644-b75e1679c039,
Deposit,2021-01-27 18:33:15,,,,,,,,,50.00,,,50.00,,,"Transaction ID: 4636117723941800",b3902648-ccd6-4f58-bc3e-c55e6ef45d7f,
Market buy,2021-01-27 18:34:17,US0079031078,AMD,"Advanced Micro Devices",0.2500000000,91.17,USD,1.21151,,18.81,,,,,,,EOF909657146,
Market buy,2021-01-27 19:14:04,US0272631021,AMLM,"American Lithium Minerals",10.0000000000,0.95,USD,1.21140,,7.84,,,,,,,EOF910801830,
Market buy,2021-01-28 08:00:25,DE0005557508,DTE,"Deutsche Telekom",1.0000000000,15.08,EUR,1.00000,,15.08,,,,,,,EOF916091099,
Market buy,2021-01-28 09:40:00,GB0009895292,AZN,"AstraZeneca",0.1100000000,7598.00,GBX,88.81110,,9.46,,,,,0.05,,EOF916125394,
Market buy,2021-01-28 14:30:40,US70450Y1038,PYPL,"PayPal",0.1000000000,235.42,USD,1.21234,,19.42,,,,,,,EOF919262557,
Market buy,2021-01-28 14:36:27,US88160R1014,TSLA,"Tesla",0.0400000000,814.36,USD,1.21316,,26.85,,,,,,,EOF920216031,
Market sell,2021-02-01 10:05:56,GB0009895292,AZN,"AstraZeneca",0.2400000000,7489.00,GBX,88.11820,0.23,20.40,,,,,,,EOF942113808,
Market buy,2021-02-01 10:07:03,GB0009895292,AZN,"AstraZeneca",0.2500000000,7488.00,GBX,88.08409,,21.36,,,,,0.11,,EOF942113897,
Deposit,2021-02-01 10:27:25,,,,,,,,,5.00,,,5.00,,,"Transaction ID: 1756121752446855",c2b98f9b-916b-4e8e-994f-fab75967139c,
Market buy,2021-02-01 14:30:10,US6549022043,NOK,"Nokia ADR",1.1200000000,4.98,USD,1.20970,,4.61,,,,,,,EOF943150404,
Market sell,2021-02-01 19:07:10,US88160R1014,TSLA,"Tesla",0.1020000000,834.16,USD,1.20702,0.49,70.49,,,,,,,EOF952034344,
Market buy,2021-02-02 14:49:52,US7170811035,PFE,"Pfizer",0.4000000000,34.90,USD,1.20273,,11.61,,,,,,,EOF957982765,
Market buy,2021-02-02 14:53:34,CA86730L1094,SNDL,"Sundial Growers",10.5000000000,1.05,USD,1.20215,,9.17,,,,,,,EOF957989199,
Market buy,2021-02-02 15:13:52,US0464332073,ATROB,"Astronics",1.0000000000,12.47,USD,1.20290,,10.37,,,,,,,EOF958022780,
Market buy,2021-02-02 17:09:29,AU0000069130,NAKD,"Naked Brand  ",9.0000000000,0.92,USD,1.20213,,6.87,,,,,,,EOF961756958,
Market buy,2021-02-02 19:16:20,US00165C1045,AMC,"AMC Entertainment Holdings",1.2000000000,7.85,USD,1.20173,,7.84,,,,,,,EOF963164068,
Market buy,2021-02-03 13:04:37,US42226N1090,HCMC,"Healthier Choices Management",2500.0000000000,0.00,USD,1.20120,,3.33,,,,,,,EOF965408299,
Market buy,2021-02-03 14:30:09,US4592001014,IBM,"IBM Corporation",0.2000000000,119.30,USD,1.20248,,19.84,,,,,,,EOF965420095,
Market buy,2021-02-03 14:30:13,CA86730L1094,SNDL,"Sundial Growers",4.3000000000,1.19,USD,1.20235,,4.26,,,,,,,EOF965421512,
Market sell,2021-02-03 14:31:05,CA86730L1094,SNDL,"Sundial Growers",1.0000000000,1.18,USD,1.20286,0.07,0.98,,,,,,,EOF966684308,
Deposit,2021-02-03 14:36:35,,,,,,,,,25.00,,,25.00,,,"Transaction ID: 4626123629943538",a4697623-5866-4482-a132-0225229835cf,
Deposit,2021-02-03 15:09:17,,,,,,,,,50.00,,,50.00,,,"Transaction ID: 1656123649555824",aedd3ea2-2410-4913-83c0-fb41912da437,
Market buy,2021-02-03 16:08:16,CA09228F1036,BB,"BlackBerry",1.3000000000,11.55,USD,1.20174,,12.49,,,,,,,EOF969899768,
Market buy,2021-02-03 17:49:01,US0272631021,AMLM,"American Lithium Minerals",20.0000000000,0.58,USD,1.20269,,9.64,,,,,,,EOF971357346,
Market buy,2021-02-03 20:31:28,CA86730L1094,SNDL,"Sundial Growers",25.0000000000,1.19,USD,1.20262,,24.74,,,,,,,EOF973487065,
Deposit,2021-02-04 06:41:57,,,,,,,,,25.00,,,25.00,,,"Transaction ID: 1829124209157771",a3a15419-1acf-4cf2-bfdd-93002521ad52,
Deposit,2021-02-04 09:08:43,,,,,,,,,350.00,,,350.00,,,"Transaction ID: 4546124297221774",18b64d6d-0367-4947-b6d9-93581fa0e032,
